year,ct2010,bbl,year_built,BldgClass,NumFloors,canopy_change_class,UnitsRes,ground_elevation,height_roof,weather_normalized_site_eui,tree_count,commercial_floor_flag,year_built_bracket,log_eui,sqrt_eui,log_tree_count,sqrt_tree_count
2010,21100,1019950016,1907,D7,6.0,Gain,93.0,38.0,86.21999999999998,104.7,10,1,Pre-1950,4.660604892876192,10.232301793829187,2.3978952727983707,3.1622776601683795
2010,21100,1019950077,1910,D4,6.0,No Change,68.0,50.0,86.67,74.4,6,0,Pre-1950,4.32280727501391,8.62554346113913,1.9459101490553132,2.449489742783178
2010,21303,1019690040,1926,D7,6.0,No Change,71.0,87.0,79.18486517,116.5,17,1,Pre-1950,4.7664383335842135,10.793516572461451,2.8903717578961645,4.123105625617661
2010,21303,1019690048,1926,D1,6.0,No Change,61.0,96.0,80.65697982,117.1,17,0,Pre-1950,4.771531723203316,10.821275340735028,2.8903717578961645,4.123105625617661
2010,21303,1019690050,1926,D1,6.0,No Change,83.0,93.0,73.89,105.6,11,0,Pre-1950,4.669083511731744,10.276186062932103,2.4849066497880004,3.3166247903554
2010,21501,2028780005,1924,D5,5.0,Gain,40.0,141.0,67.70686247,17.7,21,0,Pre-1950,2.928523523860541,4.207136793592526,3.091042453358316,4.58257569495584
2010,21501,2028780090,1924,D5,5.0,No Change,80.0,140.0,60.510000000000005,83.4,41,0,Pre-1950,4.4355674016019115,9.132360045464699,3.7376696182833684,6.4031242374328485
2010,21501,2028780169,1928,D1,6.0,Loss,66.0,144.0,65.89,47.7,22,0,Pre-1950,3.885679030088544,6.906518659932803,3.1354942159291497,4.69041575982343
2010,21501,2028780170,1927,D1,6.0,No Change,82.0,144.0,69.01,131.0,25,0,Pre-1950,4.882801922586371,11.445523142259598,3.258096538021482,5.0
2010,21501,2028780178,1927,D1,6.0,Gain,64.0,149.0,66.81,113.2,13,0,Pre-1950,4.73795129722191,10.639548862616309,2.6390573296152584,3.605551275463989
2010,21502,2028660009,1928,D1,6.0,No Change,59.0,113.0,67.12,96.40000000000002,12,0,Pre-1950,4.57882621064849,9.818350166906862,2.5649493574615367,3.4641016151377544
2010,21502,2028660110,1928,D7,6.0,Gain,40.0,115.0,71.73,41.8,11,1,Pre-1950,3.756538102587751,6.465291950097845,2.4849066497880004,3.3166247903554
