2024,Fisker Group Inc.,Fisker,Ocean Sport 20in,FGI,130,0.0,,Auto(A1),104,81,92,148.4,115.5,131.5391,103.88,80.85,92.0774,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,231,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,800,800,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,11/21/2023,34194,,,,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,386,195,144.1,On-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,Other,AC PMSM,207,,,,,N,N,,,N,No,,,,,,,,,,,10,10,,RFGIV00.0LSF,10,,,,,,,,,,,,,,,5750,,0,0,0,,12,,,,,,257,200,231,
2024,Fisker Group Inc.,Fisker,Ocean Sport 20in,FGI,130,0.0,,Auto(A1),32,42,37,22.7159,29.1749,25.6225,32.4461,41.6883,36.6051,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,231,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,800,800,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,11/21/2023,34194,,,,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,386,195,144.1,On-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,Other,AC PMSM,207,,,,,N,N,,,N,No,,,,,,,,,,,10,10,,RFGIV00.0LSF,10,,,,,,,,,,,,,,,5750,,0,0,0,,12,,,,,,257,200,231,
,,,,,,,,,,,,2024 Fisker Ocean Sport 22in,,,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 22in,,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 22in,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 22in,,,,,,,,,,,,,, ,,2024 Fisker Ocean Sport 22in,,,,,, ,,,,,,,,,,2024 Fisker Ocean Sport 22in,,,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 22in,,,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 22in,,,,,,,,,,,,,, ,2024 Fisker Ocean Sport 22in,,,,,,,,,,,,,,,2024 Fisker Ocean Sport 22in,,,,,,,,,
2024,Fisker Group Inc.,Fisker,Ocean Sport 22in,FGI,132,0.0,,Auto(A1),82,75,79,117.8,107,112.6819,82.46,74.9,78.8773,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,194,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,11/21/2023,34195,,,,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,386,195,144.1,On-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,Other,AC PMSM,207,,,,,N,N,,,N,No,,,,,,,,,,,9,10,,RFGIV00.0LSF,10,,,,,,,,,,,,,,,5000,,0,0,0,,12,,,,,,202,184,194,
2024,Fisker Group Inc.,Fisker,Ocean Sport 22in,FGI,132,0.0,,Auto(A1),41,45,43,28.6099,31.5011,29.9109,40.8744,45,42.7309,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,194,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,950,950,,,,,,,,,,,,,,,,,,,,,,,32,Standard SUV 2WD,,Electric Vehicle 2-cycle label,11/21/2023,34195,,,,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,386,195,144.1,On-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,Other,AC PMSM,207,,,,,N,N,,,N,No,,,,,,,,,,,9,10,,RFGIV00.0LSF,10,,,,,,,,,,,,,,,5000,,0,0,0,,12,,,,,,202,184,194,
,,,,,,,,,,,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,,,,,, ,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,, ,,,,,,,,,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,,,,,, ,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING EXTENDED RANGE 4WD,,,,,,,,,
2024,Ford Motor Company,Ford,F150 LIGHTNING EXTENDED RANGE 4WD,FMX,137,0.0,,Auto(A1),78,63,70,111.2,89.9,100.4863,77.84,62.93,70.3404,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,320,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,12/22/2023,34210,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,403,410,210,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,210 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXT00.0BG2,10,,,,,,,,,,,,,,,4250,,0,0,0,,14.6,,,,,,335,302,320,
2024,Ford Motor Company,Ford,F150 LIGHTNING EXTENDED RANGE 4WD,FMX,137,0.0,,Auto(A1),43,54,48,30.3,37.5,33.54,43.2857,47.9143,47.9143,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,320,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,12/22/2023,34210,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,403,410,210,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,210 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXT00.0BG2,10,,,,,,,,,,,,,,,4250,,0,0,0,,14.6,,,,,,335,302,320,
,,,,,,,,,,,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,,,,,, ,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,, ,,,,,,,,,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,,,,,, ,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PLATINUM 4WD,,,,,,,,,
2024,Ford Motor Company,Ford,F150 LIGHTNING PLATINUM 4WD,FMX,207,0.0,,Auto(A1),73,60,66,104.3,85.5,94.909,73.01,59.85,66.4363,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,300,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,1150,1150,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,12/22/2023,34211,,Y,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,403,410,210,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,210 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXT00.0BG2,10,,,,,,,,,,,,,,,4000,,0,0,0,,14.6,,,,,,313,285,300,
2024,Ford Motor Company,Ford,F150 LIGHTNING PLATINUM 4WD,FMX,207,0.0,,Auto(A1),46,56,51,32.3,39.4,35.495,46.1429,50.7071,50.7071,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,300,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,1150,1150,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,12/22/2023,34211,,Y,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,403,410,210,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,210 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXT00.0BG2,10,,,,,,,,,,,,,,,4000,,0,0,0,,14.6,,,,,,313,285,300,
,,,,,,,,,,,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,,,,,, ,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,, ,,,,,,,,,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,,,,,, ,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING PRO EXT RANGE 4WD,,,,,,,,,
2024,Ford Motor Company,Ford,F150 LIGHTNING PRO EXT RANGE 4WD,FMX,138,0.0,,Auto(A1),78,63,70,111.2,89.9,100.4863,77.84,62.93,70.3404,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,320,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,12/22/2023,34213,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,403,410,210,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,210 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXT00.0BG2,10,,,,,,,,,,,,,,,4250,,0,0,0,,10.1,,,,,,335,302,320,
2024,Ford Motor Company,Ford,F150 LIGHTNING PRO EXT RANGE 4WD,FMX,138,0.0,,Auto(A1),43,54,48,30.3,37.5,33.54,43.2857,47.9143,47.9143,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,320,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,12/22/2023,34213,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,403,410,210,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,210 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXT00.0BG2,10,,,,,,,,,,,,,,,4250,,0,0,0,,10.1,,,,,,335,302,320,
,,,,,,,,,,,,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,,,,,, ,,2024 Ford F150 LIGHTNING 4WD,,,,,, ,,,,,,,,,,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,,,,,, ,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,,,,,,,2024 Ford F150 LIGHTNING 4WD,,,,,,,,,
2024,Ford Motor Company,Ford,F150 PICKUP LIGHTNING 4WD,FMX,43,0.0,,Auto(A1),76,61,68,108.9,86.7,97.6485,76.23,60.69,68.3539,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,240,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,12/22/2023,34212,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,378,328,198,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,358 and 358,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXT00.0BG1,10,,,,,,,,,,,,,,,4250,,0,0,0,,11.9,,,,,,252,226,240,
2024,Ford Motor Company,Ford,F150 PICKUP LIGHTNING 4WD,FMX,43,0.0,,Auto(A1),44,56,49,31,38.9,34.555,44.2857,49.3643,49.3643,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,240,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,1100,1100,,,,,,,,,,,,,,,,,,,,,,,13,Standard Pick-up Trucks 4WD,,Electric Vehicle 2-cycle label,12/22/2023,34212,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,378,328,198,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,358 and 358,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXT00.0BG1,10,,,,,,,,,,,,,,,4250,,0,0,0,,11.9,,,,,,252,226,240,
,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,,,,,, ,,2024 Ford MUSTANG MACH-E RWD,,,,,, ,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,,,,,, ,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD,,,,,,,,,
2024,Ford Motor Company,Ford,MUSTANG MACH-E RWD,FMX,126,0.0,,Auto(A1),106,98,102,152,139.6,146.1579,106.4,97.72,102.3105,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,250,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,4/10/2024,34548,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,410,223,130,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motor is an AC permanent magnet synchronous machine.,1,Other,AC permanent magnet synchronou,197,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RFMXV00.0BLR,10,,,,,,,,,,,,,,,6000,,0,0,0,,7.1,,,,,,254,245,250,
2024,Ford Motor Company,Ford,MUSTANG MACH-E RWD,FMX,126,0.0,,Auto(A1),32,34,33,22.2,24.1,23.055,31.7143,32.9357,32.9357,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,250,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,4/10/2024,34548,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,410,223,130,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motor is an AC permanent magnet synchronous machine.,1,Other,AC permanent magnet synchronou,197,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RFMXV00.0BLR,10,,,,,,,,,,,,,,,6000,,0,0,0,,7.1,,,,,,254,245,250,
,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,,,,,, ,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,, ,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,,,,,, ,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E RWD EXTENDED,,,,,,,,,
2024,Ford Motor Company,Ford,MUSTANG MACH-E RWD EXTENDED,FMX,168,0.0,,Auto(A1),111,100,106,158.9,142.9,151.2779,111.23,100.03,105.8945,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,320,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,4/10/2024,34546,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,404,288,166,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motor is an AC permanent magnet synchronous machine.,1,Other,AC permanent magnet synchronou,216,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RFMXV00.0B4R,10,,,,,,,,,,,,,,,6250,,0,0,0,,10.1,,,,,,327,311,320,
2024,Ford Motor Company,Ford,MUSTANG MACH-E RWD EXTENDED,FMX,168,0.0,,Auto(A1),30,34,32,21.2,23.6,22.28,30.2857,31.8286,31.8286,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,320,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,700,700,,,,,,,,,,,,,,,,,,,,,,,30,Small SUV 2WD,,Electric Vehicle 2-cycle label,4/10/2024,34546,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,404,288,166,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motor is an AC permanent magnet synchronous machine.,1,Other,AC permanent magnet synchronou,216,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RFMXV00.0B4R,10,,,,,,,,,,,,,,,6250,,0,0,0,,10.1,,,,,,327,311,320,
,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,,,,,, ,,2024 Ford MUSTANG MACH-E AWD,,,,,, ,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,,,,,, ,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD,,,,,,,,,
2024,Ford Motor Company,Ford,MUSTANG MACH-E AWD,FMX,122,0.0,,Auto(A1),95,88,91,135.4,125,130.5136,94.78,87.5,91.3595,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,230,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/10/2024,34547,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,410,223,130,On-Board,,,Electrical Regen Brake,,Both,N,,,,"This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines. The Primary Drive Motor peak output is rated at 232kW. The Secondary Drive Motor peak output is 0kW, but is labeled as 1kW for processing needs of VERIFY.",2,Other,AC permanent magnet synchronou,1 and 198,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXV00.0BLA,10,,,,,,,,,,,,,,,5500,,0,0,0,,7.5,,,,,,234,225,230,
2024,Ford Motor Company,Ford,MUSTANG MACH-E AWD,FMX,122,0.0,,Auto(A1),36,39,37,24.9,27,25.845,35.5714,36.9214,36.9214,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,230,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/10/2024,34547,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,410,223,130,On-Board,,,Electrical Regen Brake,,Both,N,,,,"This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines. The Primary Drive Motor peak output is rated at 232kW. The Secondary Drive Motor peak output is 0kW, but is labeled as 1kW for processing needs of VERIFY.",2,Other,AC permanent magnet synchronou,1 and 198,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXV00.0BLA,10,,,,,,,,,,,,,,,5500,,0,0,0,,7.5,,,,,,234,225,230,
,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,,,,,, ,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,, ,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,,,,,, ,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E AWD EXTENDED,,,,,,,,,
2024,Ford Motor Company,Ford,MUSTANG MACH-E AWD EXTENDED,FMX,165,0.0,,Auto(A1),103,94,99,147.2,133.9,140.902,103.04,93.73,98.6314,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,300,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/10/2024,34544,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,404,288,166,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC Permanent Magnet,78 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RFMXV00.0B4A,10,,,,,,,,,,,,,,,6000,,0,0,0,,10,,,,,,306,293,300,
2024,Ford Motor Company,Ford,MUSTANG MACH-E AWD EXTENDED,FMX,165,0.0,,Auto(A1),33,36,34,22.9,25.2,23.935,32.7143,34.1929,34.1929,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,300,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/10/2024,34544,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,404,288,166,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC Permanent Magnet,78 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,RFMXV00.0B4A,10,,,,,,,,,,,,,,,6000,,0,0,0,,10,,,,,,306,293,300,
,,,,,,,,,,,,2024 Ford MUSTANG MACH-E GT,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E GT,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E GT,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E GT,,,,,,,,,,,,,, ,,2024 Ford MUSTANG MACH-E GT,,,,,, ,,,,,,,,,,2024 Ford MUSTANG MACH-E GT,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E GT,,,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E GT,,,,,,,,,,,,,, ,2024 Ford MUSTANG MACH-E GT,,,,,,,,,,,,,,,2024 Ford MUSTANG MACH-E GT,,,,,,,,,
2024,Ford Motor Company,Ford,MUSTANG MACH-E GT,FMX,166,0.0,,Auto(A1),95,85,90,135.7,121.2,128.7676,94.99,84.84,90.1373,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,280,EL,Electricity,MPG,miles per gallon,T,Truck,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/10/2024,34545,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,404,288,166,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,210 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXV00.0G4A,10,,,,,,,,,,,,,,,5500,,0,0,0,,9.9,,,,,,287,272,280,
2024,Ford Motor Company,Ford,MUSTANG MACH-E GT,FMX,166,0.0,,Auto(A1),35,40,37,24.8,27.8,26.15,35.4286,37.3571,37.3571,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,280,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,T,Truck,,,,,,,850,850,,,,,,,,,,,,,,,,,,,,,,,31,Small SUV 4WD,,Electric Vehicle 2-cycle label,4/10/2024,34545,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,404,288,166,On-Board,,,Electrical Regen Brake,,Both,N,,,,This is a pure BEV vehicle. The Drive Motors are both AC permanent magnet synchronous machines.,2,Other,AC permanent magnet synchronou,210 and 210,,,,,N,Y,,,N,No,,,,,,,,,,,9,10,,RFMXV00.0G4A,10,,,,,,,,,,,,,,,5500,,0,0,0,,9.9,,,,,,287,272,280,
